"ID","YCOORD","XCOORD","ELEVATION","SLOPE","ASPECT","ADM1_NAME","COUNTRY","GEOMETRY","AREA","map_class"
"273","1.46249161035435","16.1861739870164","354","0.00609196870876647","3.50345053957555","Sangha","Republic of Congo","points","1","31"
"216","1.57720944924039","15.9034378036568","467","0.0102366506769861","1.24713984476054","Sangha","Republic of Congo","points","1","12"
"30","1.02905298324247","16.5471022823292","347","0.00251262189938489","5.34826708154319","Sangha","Republic of Congo","points","1","12"
"219","1.34155086983062","16.3430993328046","352","0.00128611532038641","5.96336309202951","Sangha","Republic of Congo","points","1","31"
"79","1.42082522547593","16.1731870618478","368","0.00710241821189731","0.701332888436038","Sangha","Republic of Congo","points","1","12"
"263","1.51768604227122","15.9137191194153","447","0.0120581155131397","1.6722164091453","Sangha","Republic of Congo","points","1","12"
"36","1.2571358563107","16.6542444149708","354","0.00111821924344922","0.243458942508527","Sangha","Republic of Congo","points","1","12"
"231","1.27364007369761","16.7906071292418","356","0.00632448959029931","0.721655658309243","Likouala","Republic of Congo","points","1","12"
"49","1.34885601523138","16.7007808968252","386","0.00571909994849808","4.85519056682134","Sangha","Republic of Congo","points","1","12"
"163","1.40026259397749","16.1637174289123","369","0.00406023546946242","2.69537231706421","Sangha","Republic of Congo","points","1","12"
"10","1.43083598028438","16.1637174289123","362","0.0123198772215944","0.673331235209099","Sangha","Republic of Congo","points","1","12"
"106","1.26119427042224","16.7440706473874","368","0.00426486870484621","1.89449414535042","Sangha","Republic of Congo","points","1","12"
"62","1.30042560683374","16.7497524271487","365","0.00127948640624392","1.894489232652","Sangha","Republic of Congo","points","1","12"
"171","1.45491590401282","15.8482433716899","470","0.00589053775916749","1.85078976408382","Sangha","Republic of Congo","points","1","12"
"129","1.55312952551195","15.9248121179969","456","0.000691541669989914","3.33777083328355","Sangha","Republic of Congo","points","1","12"
"254","1.50686360464046","15.8298452277009","455","0.00267731729759658","2.35938059217756","Sangha","Republic of Congo","points","1","12"
"35","1.40296820338517","16.4453713685079","358","0.00139455545014437","3.64597177483578","Sangha","Republic of Congo","points","1","12"
"27","1.3234232867991","16.6945579951819","387","0.00435353854195678","5.23431859140934","Sangha","Republic of Congo","points","1","12"
"230","1.44247010073744","16.0676682948523","382","0.00879657924022596","2.35939369970259","Sangha","Republic of Congo","points","1","12"
"41","1.47060843857742","15.8977560238955","438","0.00898784863264893","2.3593881456948","Sangha","Republic of Congo","points","1","12"
"33","1.4568098305982","16.3290301638719","389","0.00500118695078558","3.35891132695932","Sangha","Republic of Congo","points","1","31"
"78","1.53824867376966","15.9315761415222","448","0.0075131880893805","4.05142232110726","Sangha","Republic of Congo","points","1","12"
"98","1.48548929031971","16.1528949912717","347","0.0051409067745714","4.18722240756811","Sangha","Republic of Congo","points","1","12"
"208","1.32748170091063","16.7021337015302","385","0.000787265188551053","5.25565739507997","Sangha","Republic of Congo","points","1","12"
"293","1.56422252408348","15.9072256568309","459","0.00730231166352935","2.25442254509503","Sangha","Republic of Congo","points","1","12"
"57","1.57612720547731","16.6163658832288","363","0.0105173941931521","4.68659067608997","Sangha","Republic of Congo","points","1","31"
"46","1.35399667310599","16.7007808968252","385","0.00614982988749631","3.83035325392756","Sangha","Republic of Congo","points","1","12"
"113","1.57585664453654","16.3152315558801","404","0.00325549117500972","3.98259883446697","Sangha","Republic of Congo","points","1","12"
"47","1.31584758045757","16.696993043651","384","0.00780479630687278","2.84363278245875","Sangha","Republic of Congo","points","1","12"
"182","1.46763226822896","15.9827121593739","439","0.00669466928000754","0.810772794073311","Sangha","Republic of Congo","points","1","31"
"218","1.30529570376758","16.7459645739745","365","0.00127948640624392","1.894489232652","Sangha","Republic of Congo","points","1","12"
"199","0.945449652544856","16.5381737712757","334","0.00430980247209307","0.220672238820368","Sangha","Republic of Congo","points","1","12"
